#proc cat nGausRV nGausWV
InsideAcceptance_genMjjEta2p5_100p0_150p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genMjjEta2p5_100p0_150p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genMjjEta2p5_100p0_150p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genMjjEta2p5_100p0_150p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_0 4 -1
InsideAcceptance_genMjjEta2p5_100p0_150p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genMjjEta2p5_100p0_150p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_2 2 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_0p0_100p0_SigmaMpTTag_0 3 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_0p0_100p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_0p0_100p0_SigmaMpTTag_2 3 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_100p0_150p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_100p0_150p0_SigmaMpTTag_1 3 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_100p0_150p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_150p0_450p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_150p0_450p0_SigmaMpTTag_1 3 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_150p0_450p0_SigmaMpTTag_2 2 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_0 3 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genMjjEta2p5_150p0_450p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_0p0_100p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_0p0_100p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_0p0_100p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_100p0_150p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_100p0_150p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_100p0_150p0_SigmaMpTTag_2 3 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_150p0_450p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_150p0_450p0_SigmaMpTTag_1 3 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_150p0_450p0_SigmaMpTTag_2 3 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_2 4 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genMjjEta2p5_450p0_1000p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_2 4 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_0p0_100p0_SigmaMpTTag_0 3 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_0p0_100p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_0p0_100p0_SigmaMpTTag_2 2 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_100p0_150p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_100p0_150p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_100p0_150p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_150p0_450p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_150p0_450p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_150p0_450p0_SigmaMpTTag_2 4 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_1 4 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_0 4 1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_1 3 1
InsideAcceptance_genMjjEta2p5_m1000p0_0p0 recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_2 4 2
OutsideAcceptance recoMjjEta2p5_0p0_100p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoMjjEta2p5_0p0_100p0_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoMjjEta2p5_0p0_100p0_SigmaMpTTag_2 2 -1
OutsideAcceptance recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoMjjEta2p5_1000p0_13000p0_SigmaMpTTag_2 -1 -1
OutsideAcceptance recoMjjEta2p5_100p0_150p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoMjjEta2p5_100p0_150p0_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoMjjEta2p5_100p0_150p0_SigmaMpTTag_2 2 -1
OutsideAcceptance recoMjjEta2p5_150p0_450p0_SigmaMpTTag_0 3 -1
OutsideAcceptance recoMjjEta2p5_150p0_450p0_SigmaMpTTag_1 4 -1
OutsideAcceptance recoMjjEta2p5_150p0_450p0_SigmaMpTTag_2 4 -1
OutsideAcceptance recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoMjjEta2p5_450p0_1000p0_SigmaMpTTag_2 -1 -1
OutsideAcceptance recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_1 3 -1
OutsideAcceptance recoMjjEta2p5_m1000p0_0p0_SigmaMpTTag_2 3 -1
