#proc cat nGausRV nGausWV
InsideAcceptance_genPt_15p0to30p0 SigmaMpTTag_1_recoPt_350p0to10000p0 -1 -1
InsideAcceptance_genPt_15p0to30p0 SigmaMpTTag_1_recoPt_45p0to85p0 -1 -1
InsideAcceptance_genPt_15p0to30p0 SigmaMpTTag_1_recoPt_85p0to125p0 -1 -1
InsideAcceptance_genPt_15p0to30p0 SigmaMpTTag_2_recoPt_0p0to15p0 4 -1
InsideAcceptance_genPt_15p0to30p0 SigmaMpTTag_2_recoPt_125p0to200p0 -1 -1
InsideAcceptance_genPt_15p0to30p0 SigmaMpTTag_2_recoPt_15p0to30p0 3 1
InsideAcceptance_genPt_15p0to30p0 SigmaMpTTag_2_recoPt_200p0to350p0 -1 -1
InsideAcceptance_genPt_15p0to30p0 SigmaMpTTag_2_recoPt_30p0to45p0 4 -1
InsideAcceptance_genPt_15p0to30p0 SigmaMpTTag_2_recoPt_350p0to10000p0 -1 -1
InsideAcceptance_genPt_15p0to30p0 SigmaMpTTag_2_recoPt_45p0to85p0 -1 -1
InsideAcceptance_genPt_15p0to30p0 SigmaMpTTag_2_recoPt_85p0to125p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_0_recoPt_0p0to15p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_0_recoPt_125p0to200p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_0_recoPt_15p0to30p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_0_recoPt_200p0to350p0 2 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_0_recoPt_30p0to45p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_0_recoPt_350p0to10000p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_0_recoPt_45p0to85p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_0_recoPt_85p0to125p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_1_recoPt_0p0to15p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_1_recoPt_125p0to200p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_1_recoPt_15p0to30p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_1_recoPt_200p0to350p0 2 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_1_recoPt_30p0to45p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_1_recoPt_350p0to10000p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_1_recoPt_45p0to85p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_1_recoPt_85p0to125p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_2_recoPt_0p0to15p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_2_recoPt_125p0to200p0 1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_2_recoPt_15p0to30p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_2_recoPt_200p0to350p0 2 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_2_recoPt_30p0to45p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_2_recoPt_350p0to10000p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_2_recoPt_45p0to85p0 -1 -1
InsideAcceptance_genPt_200p0to350p0 SigmaMpTTag_2_recoPt_85p0to125p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_0_recoPt_0p0to15p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_0_recoPt_125p0to200p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_0_recoPt_15p0to30p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_0_recoPt_200p0to350p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_0_recoPt_30p0to45p0 3 1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_0_recoPt_350p0to10000p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_0_recoPt_45p0to85p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_0_recoPt_85p0to125p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_1_recoPt_0p0to15p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_1_recoPt_125p0to200p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_1_recoPt_15p0to30p0 4 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_1_recoPt_200p0to350p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_1_recoPt_30p0to45p0 4 4
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_1_recoPt_350p0to10000p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_1_recoPt_45p0to85p0 4 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_1_recoPt_85p0to125p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_2_recoPt_0p0to15p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_2_recoPt_125p0to200p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_2_recoPt_15p0to30p0 2 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_2_recoPt_200p0to350p0 -1 -1
InsideAcceptance_genPt_30p0to45p0 SigmaMpTTag_2_recoPt_30p0to45p0 3 2
