#proc cat nGausRV nGausWV
InsideAcceptance_genJet4p7Pt1_m1000p0_0p0 recoJet4p7Pt1_m1000p0_0p0_SigmaMpTTag_2 3 1
OutsideAcceptance recoJet4p7Pt1_0p0_45p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoJet4p7Pt1_0p0_45p0_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoJet4p7Pt1_0p0_45p0_SigmaMpTTag_2 1 -1
OutsideAcceptance recoJet4p7Pt1_45p0_90p0_SigmaMpTTag_0 1 -1
OutsideAcceptance recoJet4p7Pt1_45p0_90p0_SigmaMpTTag_1 2 -1
OutsideAcceptance recoJet4p7Pt1_45p0_90p0_SigmaMpTTag_2 4 -1
OutsideAcceptance recoJet4p7Pt1_90p0_13000p0_SigmaMpTTag_0 2 -1
OutsideAcceptance recoJet4p7Pt1_90p0_13000p0_SigmaMpTTag_1 1 -1
OutsideAcceptance recoJet4p7Pt1_90p0_13000p0_SigmaMpTTag_2 1 -1
OutsideAcceptance recoJet4p7Pt1_m1000p0_0p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoJet4p7Pt1_m1000p0_0p0_SigmaMpTTag_1 1 -1
OutsideAcceptance recoJet4p7Pt1_m1000p0_0p0_SigmaMpTTag_2 1 -1
