#proc cat nGausRV nGausWV
InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0 recoAbsDeltaPhiGgJjEta4p7_0p0_2p9_SigmaMpTTag_1 3 3
InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0 recoAbsDeltaPhiGgJjEta4p7_0p0_2p9_SigmaMpTTag_2 1 3
InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0 recoAbsDeltaPhiGgJjEta4p7_2p9_3p05_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0 recoAbsDeltaPhiGgJjEta4p7_2p9_3p05_SigmaMpTTag_1 3 -1
InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0 recoAbsDeltaPhiGgJjEta4p7_2p9_3p05_SigmaMpTTag_2 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0 recoAbsDeltaPhiGgJjEta4p7_3p05_3p15_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0 recoAbsDeltaPhiGgJjEta4p7_3p05_3p15_SigmaMpTTag_1 2 -1
InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0 recoAbsDeltaPhiGgJjEta4p7_3p05_3p15_SigmaMpTTag_2 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0 recoAbsDeltaPhiGgJjEta4p7_m1000p0_0p0_SigmaMpTTag_0 2 4
InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0 recoAbsDeltaPhiGgJjEta4p7_m1000p0_0p0_SigmaMpTTag_1 3 1
InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0 recoAbsDeltaPhiGgJjEta4p7_m1000p0_0p0_SigmaMpTTag_2 3 1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_0p0_2p9_SigmaMpTTag_0 1 -1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_0p0_2p9_SigmaMpTTag_1 2 -1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_0p0_2p9_SigmaMpTTag_2 1 -1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_2p9_3p05_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_2p9_3p05_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_2p9_3p05_SigmaMpTTag_2 4 -1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_3p05_3p15_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_3p05_3p15_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_3p05_3p15_SigmaMpTTag_2 1 -1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_m1000p0_0p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_m1000p0_0p0_SigmaMpTTag_1 1 -1
OutsideAcceptance recoAbsDeltaPhiGgJjEta4p7_m1000p0_0p0_SigmaMpTTag_2 1 -1
